entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,958.775,-20.025,95,0.00104546,0.0135305,1,1.62806,0.000443160533905,89356,0.0135305,186.68556571006775
,958.775,-20.025,95,0.0011769,0.0154998,,1.61596,-0.00514590740204,89356,0.0154998,187.75794172286987
,956.175,-20.0,96,0.00108021,0.0122375,1,1.61594,-0.00320494174957,90403,0.0122375,188.82310557365417
,956.175,-20.0,96,0.00107231,0.0160626,,1.63456,-0.00693869590759,90403,0.0160626,189.87627410888672
,955.275,-20.0,97,0.00104715,0.0155711,1,1.61666,0.00392526388168,91362,0.0155711,190.95107674598694
,955.275,-20.0,97,0.0010721,0.0145485,,1.66079,-0.00114786624908,91362,0.0145485,192.00357389450073
,952.45,-20.05,98,0.000919123,0.0144484,1,1.62638,-0.00169944763184,92240,0.0144484,193.08128213882446
,952.45,-20.05,98,0.00105701,0.012102,,1.66237,0.00189703702927,92240,0.012102,194.15032958984375
,956.15,-20.025,99,0.00108317,0.0158118,1,1.59578,0.00352013111115,93264,0.0158118,195.2179980278015
,949.225,-20.075,100,0.00126968,0.0169875,1,1.62606,0.000938355922699,94082,0.0169875,196.33255887031555
,949.225,-20.075,100,0.00106454,0.0162398,,1.64046,-0.00199174880981,94082,0.0162398,197.36124396324158
,953.875,-20.05,101,0.00108343,0.0145862,1,1.59978,-8.94069671631e-06,95085,0.0145862,198.4219195842743
,953.875,-20.05,101,0.00115756,0.0183372,,1.60577,-0.000947713851929,95085,0.0183372,199.47599029541016
,945.775,-20.1,102,0.00120501,0.0154215,1,1.57777,-0.000747561454773,95996,0.0154215,200.54943990707397
,945.775,-20.1,102,0.000961145,0.0129227,,1.528,-0.000277638435364,95996,0.0129227,201.6213788986206
,942.775,-20.15,103,0.000939608,0.0128298,1,1.58878,0.00258266925812,96932,0.0128298,202.67821955680847
,941.15,-20.15,104,0.00128419,0.0137244,1,1.60584,0.00167137384415,97708,0.0137244,203.7551770210266
,941.15,-20.15,104,0.00103877,0.0177593,,1.62708,-0.0085381269455,97708,0.0177593,204.81300902366638
,938.375,-20.125,105,0.00100806,0.013309,1,1.62211,-0.000708341598511,98539,0.013309,205.89403891563416
,934.7,-20.15,106,0.000512263,0.00704405,1,1.62086,0.00132501125336,99313,0.00704405,206.9742157459259
,934.7,-20.15,106,0.00108466,0.0192113,,1.58098,-0.00175249576569,99313,0.0192113,208.0533425807953
,932.975,-20.175,107,0.00120492,0.0167386,1,1.59557,-0.00308310985565,100099,0.0167386,209.15024280548096
,932.975,-20.175,107,0.00117239,0.0160793,,1.62718,0.00328743457794,100099,0.0160793,210.21546244621277
,921.325,-20.175,108,0.00115365,0.0146959,1,1.56319,-0.000709533691406,101025,0.0146959,211.27554392814636
,916.2,-20.2,109,0.00116604,0.0142949,1,1.58269,0.00126516819,101832,0.0142949,212.35901927947998
,916.2,-20.2,109,0.00138312,0.0175766,,1.55739,-0.00250196456909,101832,0.0175766,213.42644023895264
,915.625,-20.2,110,0.00104162,0.0135191,1,1.53653,-0.00118398666382,102655,0.0135191,214.52108240127563
,915.625,-20.2,110,0.001046,0.0148112,,1.54898,-0.00810468196869,102655,0.0148112,215.5742747783661
,919.7,-20.175,111,0.00117113,0.014667,1,1.55617,0.000524401664734,103637,0.014667,216.66167426109314
,917.2,-20.175,112,0.00110288,0.0150759,1,1.57419,0.00125443935394,104415,0.0150759,217.74396014213562
,917.2,-20.175,112,0.00117708,0.014359,,1.57681,0.00126856565475,104415,0.014359,218.79625296592712
,916.075,-20.175,113,0.000997367,0.0135135,1,1.51775,0.00261318683624,105190,0.0135135,219.86686992645264
,916.075,-20.175,113,0.00106657,0.0193242,,1.58554,-0.00205957889557,105190,0.0193242,220.92271757125854
,915.975,-20.175,114,0.00100077,0.0145179,1,1.55776,-0.000485777854919,106189,0.0145179,221.9856822490692
